Storeid,StoreName,State,Date,VALUE,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower
244159,IGA M BARANDUDA 975540,VIC,9/7/2025,333.3661168,500.36,0,0,0,0,121.33,0,141.76,65.07,0,1,0,0,0,0,1,0,2,1.206116775,0
40167,IGA COCKATOO 196873,VIC,10/7/2025,578.56,500.36,0,0,454.23,0,121.33,0,0,0,0,1,0,0,1,0,1,0,0,0,0
48274,IGA BALLAJURA MARKET PLACE 197971,WA,8/5/2025,268.09,1000.72,0,0,0,0,121.33,0,141.76,0,0,2,0,0,0,0,1,0,2,0,0
48311,IGA MULLALOO (REBELO)  201910,WA,8/5/2025,390.42,1000.72,0,0,0,0,242.66,0,141.76,0,0,2,0,0,0,0,2,0,2,0,0
48144,IGA CANNINGVALE (ROCK GROUP)  132993,WA,19/5/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48221,IGA DOUBLEVIEW  196010,WA,19/5/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48127,IGA WOODVALE 207730,WA,19/5/2025,246.66,1000.72,0,0,0,0,242.66,0,0,0,0,2,0,0,0,0,2,0,0,0,0
48147,IGA QUINNS ROCK (REBELO)  111368,WA,19/5/2025,124.33,1000.72,0,0,0,0,121.33,0,0,0,0,2,0,0,0,0,1,0,0,0,0
48253,SUPA VALU GIRRAWHEEN 211931,WA,26/5/2025,1,0,568.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49156,IGA SWAN VIEW  134589,WA,22/5/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
39754,IGA OSBORNE PARK  202282,WA,22/5/2025,124.33,1000.72,0,0,0,0,121.33,0,0,0,0,2,0,0,0,0,1,0,0,0,0
48976,IGA NORANDA 212652,WA,22/5/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48133,IGA HELENA VALLEY  128724,WA,22/5/2025,4,1000.72,1137.06,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
48212,IGA MOUNT BARKER  112321,WA,26/5/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48379,IGA EXPRESS WAGIN  204439,WA,26/5/2025,1,0,568.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49850,IGA JOONDALUP CANDLEWOOD 213659,WA,26/5/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48283,IGA OCEAN REEF BEAUMARIS 105651,WA,26/5/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83253,IGA AVELEY 213551,WA,27/5/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48122,IGA DENMARK FINE FOOD MARKET 161160,WA,28/5/2025,40.63305839,500.36,568.53,0,0,0,0,0,0,37.93,0,1,1,0,0,0,0,0,0,0.703058387,0
48327,IGA COTTESLOE  205290,WA,29/5/2025,124.33,1000.72,0,0,0,0,121.33,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2745,IGA NEDLANDS  118885,WA,29/5/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48331,IGA MANDURAH 211419,WA,3/6/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
83919,IGA SOUTH GUILDFORD  204005,WA,3/6/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48316,IGA KINGSLEY (GRANT)  201553,WA,3/6/2025,247.66,1000.72,568.53,0,0,0,242.66,0,0,0,0,2,1,0,0,0,2,0,0,0,0
48285,IGA CRAIGIE (GRANT)  206431,WA,3/6/2025,246.66,1000.72,0,0,0,0,242.66,0,0,0,0,2,0,0,0,0,2,0,0,0,0
48271,IGA EVERFRESH MERRIWA 212601,WA,5/6/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52411,IGA DARCH 210072,WA,5/6/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83288,IGA ILUKA (SINGH) 208698,WA,5/6/2025,379.1530584,1000.72,0,0,0,0,242.66,0,70.88,59.51,0,2,0,0,0,0,2,0,1,1.103058387,0
50473,TUCKER FRESH IGA ATWELL  203203,WA,5/6/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251705,IGA TUCKER FRESH PIARA WATERS 211737,WA,5/6/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48314,IGA PADBURY (GRANT)  189006,WA,9/6/2025,246.66,1000.72,0,0,0,0,242.66,0,0,0,0,2,0,0,0,0,2,0,0,0,0
71994,FRIENDLY GROCER PEARSALL (GRANT) 211630,WA,9/6/2025,246.66,1000.72,0,0,0,0,242.66,0,0,0,0,2,0,0,0,0,2,0,0,0,0
52119,IGA INNALOO (SINGH)  201928,WA,9/6/2025,124.33,500.36,568.53,0,0,0,121.33,0,0,0,0,1,1,0,0,0,1,0,0,0,0
84742,IGA BALDIVIS  203785,WA,9/6/2025,1,0,568.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48261,IGA HARVEY  106380,WA,10/6/2025,402.6387783,1000.72,1137.06,329.66,0,0,0,0,0,0,67.2,2,2,1,0,0,0,0,0,0,0.778778292
