Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
783473,BMS Mitre 10 (Ruthven Street) (North Toowoomba),Mitre 10,3.09%,-24.31%,8.62%,20.86%,-336.73%
783474,BMS Mitre 10 (Stenner Street) (Darling Heights),Mitre 10,11.59%,-19.80%,9.88%,53.70%,0.00%
783476,Beaudesert Mitre 10 (Beaudesert),Mitre 10,17.78%,-13.33%,18.47%,23.36%,
783477,Sunshine Trade Centre (Noosaville),Mitre 10,-54.04%,-73.97%,-49.65%,-100.00%,
783480,James Hardware & Electrical Mitre 10 (Mullumbimby),Mitre 10,24.15%,-4.27%,32.52%,27.94%,0.88%
783482,Thompson Rural Supplies (Harden),-,8.62%,-23.59%,16.14%,-29.38%,
783483,Quirindi Mitre 10 (Quirindi),Mitre 10,-28.12%,19.62%,-35.76%,-31.45%,
783484,Vane Tempest Bros Mitre 10 (Condobolin),Mitre 10,-13.09%,27.54%,-17.03%,-69.34%,0.00%
783485,Agri-Ware (Moree),-,114.88%,114.88%,,,
783490,Woodmans Mitre 10 (Beenleigh),Mitre 10,15.79%,-12.23%,17.26%,41.67%,
783493,Boyup Brook Co-operative (Boyup Brook),-,-8.36%,-23.11%,-3.68%,-50.19%,
783495,Cunderdin Rural Traders (Cunderdin),-,0.43%,4.60%,0.13%,-31.47%,
783497,Geographe Timber & Hardware (Busselton),-,-13.50%,-44.95%,-9.50%,-100.00%,
783498,Texas Mitre 10 (Texas),Mitre 10,1.96%,1.38%,0.56%,28.74%,
783499,Scarboro Hardware (Scarborough),-,-28.37%,-49.91%,-21.81%,-54.78%,
783503,Almac Hardware & Welding Supplies (Gulgong),-,2.82%,251.14%,-9.10%,15.11%,
783504,Corinda Hardware & Electrical (Corinda),-,60.59%,-6.92%,61.39%,,
783509,Tully Trade Centre (Tully),Mitre 10,5.76%,,7.99%,0.00%,0.00%
783511,Goodwin & Storr Mitre 10 (Laidley),Mitre 10,-59.52%,-69.99%,-57.22%,-81.84%,
783512,T & C Supplies (Albany),-,-5.52%,-35.76%,0.73%,-30.14%,
783517,K C's Corner (Normanton),-,7.68%,28.68%,3.19%,-18.17%,
783518,Gailes Home Hardware (Gailes),Home,21.02%,-18.26%,1332.20%,46.78%,
783519,Mount Lawley Hardware (Mt Lawley),-,-24.70%,-62.42%,-22.73%,-38.86%,
783520,Boss Industrial (Spearwood),-,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%
783522,Midstream Hardware (Mandurah),-,25.08%,,25.08%,,
783523,Parkwood Hardware (Canning Vale),-,8.23%,-7.66%,-,,
783524,Versatile Mitre 10 (Malaga),Mitre 10,33.37%,,31.49%,106.70%,
783526,Hardware Plus True Value Hardware (Moora),True Value,15.84%,26.86%,17.66%,-53.63%,
783528,Newdegate Stock & Trading Co (Newdegate),-,-68.22%,-100.00%,-52.59%,-100.00%,
783529,Ron Bateman & Co (Merredin),-,-6.13%,-13.41%,-3.42%,-100.00%,
783530,Kalbarri Warehouse (Kalbarri),-,-20.28%,-34.71%,-13.89%,9.01%,
783535,Yerecoin Traders (Yerecoin),-,3.36%,-27.38%,13.57%,-47.70%,
783536,Mccall Motors (In Liq) (Bruce Rock),-,-23.31%,0.00%,-36.31%,0.00%,
783537,Pinnacle Post Office & Newsagency (Cervantes),-,-100.00%,-100.00%,-100.00%,,
783542,L & T Venables (Wangarra),-,-24.51%,,-9.68%,-100.00%,
783547,Kalgoorlie Case & Drill (Boulder),-,24.49%,0.00%,25.78%,,
783549,Gangell's Ag Solutions (Kulin),-,16.80%,-3.37%,26.07%,-58.75%,
783552,Sunshine Mitre 10 (Kunda Park),Mitre 10,13.98%,-13.13%,14.22%,58.76%,
783556,LP & JA Fryer (Harvey),-,81.30%,,81.30%,,
783558,Ninghan Spray & Ag Service (Beacon),-,-4.25%,-18.21%,9.13%,-100.00%,
783560,Paint-It (Dunsborough),-,-35.95%,,-35.95%,,
783562,Kats Rural (Morawa),-,-9.33%,3.89%,-13.21%,-,
783563,A1 Salvage & Hardware (Mandurah),-,3.64%,,3.64%,,
783566,Carnarvon Growers Association Inc (Carnarvon),-,-9.45%,,-7.90%,-100.00%,
783568,Dkt Rural Agencies (Kellerberrin),-,86.69%,107.57%,84.33%,95.44%,
783571,Bridgetown Paint Sales (Bridgetown),-,4.82%,-100.00%,6.57%,,
783579,Suncoast Rural (Wamuran),-,27.70%,-33.41%,55.52%,100.75%,
783583,Narrogin Hardware & Building Supply (Narrogin),-,-15.12%,9.28%,-13.87%,-49.41%,
783585,Terweys Total Hardware (Cannington),-,-42.57%,-100.00%,-37.71%,,
783586,W & J Greenwell (Gingin),-,-0.50%,13.00%,-4.25%,55.60%,
783587,Sunshine Mitre 10 (Gympie),Mitre 10,26.88%,-21.80%,35.49%,26.51%,
783588,Staff Purchases Cod - Wa (Canning Vale),Mitre 10,-10.48%,9.03%,-26.49%,,
783597,Moree Mitre 10 (Moree),Mitre 10,-2.69%,,11.51%,-51.60%,
783603,Bondi Junction Timber & Hardware (Bondi Junction),-,1942.42%,,1942.42%,,
783606,Foot & Barrett Mitre 10 (Springsure),Mitre 10,3.59%,5.36%,3.86%,-11.06%,
783607,Mangrove True Value Hardware (Central Mangrove),True Value,12.35%,-65.72%,33.90%,-13.45%,
783608,Leeton Mitre 10 (Leeton),Mitre 10,1.86%,-16.24%,5.27%,13.27%,
783609,Ulladulla Mitre 10 (Ulladulla),Mitre 10,-4.43%,142.21%,-4.76%,-30.66%,
783610,Moruya Mitre 10 (Moruya),Mitre 10,-27.50%,-,-31.12%,31.64%,
783611,Henderson Hardware (Collie),-,-14.59%,,-24.30%,29.94%,
783618,Capella Agencies (Capella),-,-10.57%,-22.95%,-9.64%,0.19%,
783619,Budden's Hardware (Manilla),-,-7.23%,-8.69%,-9.26%,117.53%,
783620,The Hardware Shed (Grafton),-,-13.35%,-100.00%,-25.74%,86.36%,
783622,Sunlite Mitre 10 (Bondi Junction),Mitre 10,5.72%,7.75%,10.11%,-10.66%,5.48%
783623,Sunlite Mitre 10 (Pitt Street) (Sydney),Mitre 10,26.86%,-1.97%,2.41%,14.63%,41.32%
783624,Sunlite Mitre 10 (York Street) (Sydney),Mitre 10,17.63%,-15.27%,15.51%,0.30%,26.25%
783625,Browns Plains Home Hardware (Browns Plains),Home,67.89%,182.07%,46.23%,135.71%,
783626,Integrated Industrial (Kewdale),-,217.08%,-90.03%,257.20%,467.79%,
783628,Balshaw's Mitre 10 (Mundubbera),Mitre 10,22.02%,40.69%,7.15%,132.86%,
