Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
FRIENDLY GROCER LAKE BOLAC,8480,LAKE BOLAC,VIC ,3351,1947,Friendly Grocer,,,,,,,,,,,,
IGA M HEWITTS + LIQUOR,9750,LAKES ENTRANCE,VIC ,3909,1019,IGA Medium,HEWITT,,,,,,,,,,,
GRAN MONTE (FWKS),70742,LALOR,VIC ,3075,1969,Foodworks,REDDROPS,,,,,,,,,,,
IGA LG LANCEFIELD PLUS LIQUOR,8194,LANCEFIELD,VIC ,3435,1719,IGA Local Grocer,,,,,,,,,,,,
IGA M LANG LANG PLUS LIQUOR,9744,LANG LANG,VIC ,3984,555,IGA Medium,ROBERT LIE,,,,,,,,,,,
FGRC LAVERTON SUPERMARKET,43589,LAVERTON,VIC ,3028,2131,Friendly Grocer,-,,,,,,,,,,,
IGA M LAVERTON PLUS LIQUOR,40170,LAVERTON,VIC ,3028,1108,IGA Medium,DAWEI QU,,,,,,,,,,,
FGRC LEITCHVILLE,21440,LEITCHVILLE,VIC ,3567,1861,Friendly Grocer,-,,,,,,,,,,,
IGA L MICHAELS LEONGATHA,20659,LEONGATHA,VIC ,3953,146,IGA Large,MICHAELS,,,,,,,,,,,
CAMPUS & CO LILYDALE,249822,LILYDALE,VIC ,3140,2221,Foodworks,,,,,,,,,,,,
FWKS LOCH SPORT,8516,LOCH SPORT,VIC ,3851,1245,Foodworks,SIVOM GROUP,,,,,,,,,,,
FGRC LOCKINGTON,4788,LOCKINGTON,VIC ,3563,1467,Foodworks,,,,,,,,,,,,
IGA L CHAMPIONS LONG GULLY,11537,LONG GULLY,VIC ,3550,30,IGA Large,CHAMPIONS,,,,,,,,,,,
FRIENDLY GROCER LONGWARRY,21435,LONGWARRY,VIC ,3816,1541,Friendly Grocer,,,,,,,,,,,,
FOODWORKS PLUS LIQUOR LORNE,1671,LORNE,VIC ,3232,537,Foodworks,ALEX NG,,,,,,,,,,,
LOWER PLENTY FOOD STORE,800,LOWER PLENTY,VIC ,3093,1690,Foodworks,TAIMI,,,,,,,,,,,
IGA LOCAL GROCER MACEDON PLUS LIQUOR,5232,MACEDON,VIC ,3440,1399,IGA Local Grocer,ROBERT LIE,,,,,,,,,,,
IGA LOCAL GROCER MACLEOD,12613,MACLEOD,VIC ,3085,1109,IGA Local Grocer,,,,,,,,,,,,
IGA MADDINGLEY (CHAMPIONS),183194,MADDINGLEY,VIC ,3340,362,IGA Large,CHAMPIONS,,,,,,,,,,,
IGA M RITCHIES MAFFRA,836,MAFFRA,VIC ,3860,351,IGA Medium,RITCHIES,,,,,,,,,,,
IGA M MAIDEN GULLY PLUS LIQUOR,17054,MAIDEN GULLY,VIC ,3551,317,IGA Medium,BILL BATESON,,,,,,,,,,,
IGA LOCAL GROCER MALDON PLUS LIQUOR,2012,MALDON,VIC ,3463,1092,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS MALLACOOTA,32983,MALLACOOTA,VIC ,3892,941,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER MALLACOOTA PLUS LIQUOR,15148,MALLACOOTA,VIC ,3892,983,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER MALVERN PLUS LIQUOR,85152,MALVERN,VIC ,3144,1276,IGA Local Grocer,HITESH,,,,,,,,,,,
IGA LOCAL GROCER 472 WAVERLEY RD,14724,MALVERN EAST,VIC ,3145,1472,IGA Local Grocer,LING CHEN,,,,,,,,,,,
IGA LOCAL GROCER MALVERN EAST PLUS LIQUOR,33316,MALVERN EAST,VIC ,3145,1473,IGA Local Grocer,DANNY KASHYAP,,,,,,,,,,,
FOODWORKS PLUS LIQUOR MANSFIELD (VIC),3494,MANSFIELD,VIC ,3722,136,Foodworks,REDDROPS,,,,,,,,,,,
IGA L MARKS MANSFIELD PLUS LIQUOR,14705,MANSFIELD,VIC ,3722,11,IGA Large,,,,,,,,,,,,
DUNCANS MARIBYRNONG,38541,MARIBYRNONG,VIC ,3032,2150,Friendly Grocer,,,,,,,,,,,,
IGA L MARYBOROUGH,18563,MARYBOROUGH,VIC ,3465,643,IGA Large,RYAN OUYANG,,,,,,,,,,,
FOODWORKS MARYSVILLE,12129,MARYSVILLE,VIC ,3779,1309,Foodworks,REDDROPS,,,,,,,,,,,
IGA L MEADOW HEIGHTS,21947,MEADOW HEIGHTS,VIC ,3048,842,IGA Large,,,,,,,,,,,,
IGA LOCAL GROCER MEENIYAN PLUS LIQUOR,53170,MEENIYAN,VIC ,3956,1205,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER CHEVRON,39324,MELBOURNE,VIC ,3000,1127,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER COLLINS STREET,120935,MELBOURNE,VIC ,3000,1180,IGA Local Grocer,SAMI DERIAS,,,,,,,,,,,
IGA LOCAL GROCER FRANKLIN ST,83038,MELBOURNE,VIC ,3000,525,IGA Local Grocer,MARIO LYU,,,,,,,,,,,
IGA LG FRANKLIN ST,265889,MELBOURNE,VIC ,3000,1103,IGA Local Grocer,ROMEL ANDRAWIS,,,,,,,,,,,
KINGS CONVENIENCE & LIQUO,269782,MELBOURNE,VIC ,3000,1884,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER LONSDALE ST,32845,MELBOURNE,VIC ,3000,1167,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER 85 QUEEN ST MELB,16802,MELBOURNE,VIC ,3000,1652,IGA Local Grocer,ELYAS,,,,,,,,,,,
IGA LOCAL GROCER EXHIBITION ST MELB,39028,MELBOURNE,VIC ,3000,1445,IGA Local Grocer,JASVIR SINGH,,,,,,,,,,,
FGRC COLLINS ST PLUS DUNCANS,230853,MELBOURNE,VIC ,3000,1827,Friendly Grocer,,,,,,,,,,,,
IGA LG WILLIAM ST MELBOURNE,278702,MELBOURNE,VIC ,3000,1511,IGA Local Grocer,SAMI YOUNAN,,,,,,,,,,,
IGA LOCAL GROCER FLINDERS ST MELBOURNE,16551,MELBOURNE,VIC ,3000,1059,IGA Local Grocer,,,,,,,,,,,,
MELBOURNE KEBAB FACTORY,186298,MELBOURNE,VIC ,3000,1876,Friendly Grocer,,,,,,,,,,,,
PANTRE FGRC,288358,MELBOURNE,VIC ,3000,2172,Friendly Grocer,-,,,,,,,,,,,
LEES SUPERMARKET F/GRC,21853,MELTON,VIC ,3337,1506,Friendly Grocer,-,,,,,,,,,,,
FWKS MELTON,20977,MELTON,VIC ,3337,1290,Foodworks,,,,,,,,,,,,
IGA L MORGANS MELTON,11599,MELTON,VIC ,3337,316,IGA Large,MORGANS,,,,,,,,,,,
FOODWORKS MELTON WEST(COD),116690,MELTON WEST,VIC ,3337,1154,Foodworks,,,,,,,,,,,,
IGA L R/FISHERS MERBEIN,558,MERBEIN,VIC ,3505,278,IGA Large,RITCHIES,,,,,,,,,,,
IGA VILLAGE GROCER MIDDLE PARK PLUS LIQUOR,5890,MIDDLE PARK,VIC ,3206,952,IGA Local Grocer,-,,,,,,,,,,,
IGA L MILDURA (RITCHIES),1414,MILDURA,VIC ,3500,222,IGA Large,RITCHIES,,,,,,,,,,,
FWKS MILDURA,8060,MILDURA,VIC ,3500,1471,Foodworks,,,,,,,,,,,,
IGA M R/FISHERS MINERS REST,41783,MINERS REST,VIC ,3352,348,IGA Medium,RITCHIES,,,,,,,,,,,
IGA M MINYIP,14738,MINYIP,VIC ,3392,1425,IGA Medium,CASSANDRA JENKINSON,,,,,,,,,,,
FWKS MIRBOO NORTH,43641,MIRBOO NORTH,VIC ,3871,733,Foodworks,DAWEI QU,,,,,,,,,,,
VILLAGE GROCER MITCHAM,15502,MITCHAM,VIC ,3132,2009,Independents Other,,,,,,,,,,,,
IGA LOCAL GROCER MOE PLUS LIQUOR,13019,MOE,VIC ,3825,1398,IGA Local Grocer,HEWITT,,,,,,,,,,,
CAMPUS & CO MOE FWKS,277687,MOE,VIC ,3825,2107,Foodworks,-,,,,,,,,,,,
IGA LOCAL GROCER MOE PLUS LIQUOR,13019,MOE,VIC ,3825,1398,IGA Local Grocer,HEWITT,,,,,,,,,,,
FOODWORKS MONT ALBERT,10131,MONT ALBERT,VIC ,3127,1540,Foodworks,,,,,,,,,,,,
FOODWORKS MONTMORENCY,15255,MONTMORENCY,VIC ,3094,660,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER MONTROSE PLUS LIQUOR,19852,MONTROSE,VIC ,3765,1101,IGA Local Grocer,BRAD MONROE,,,,,,,,,,,
IGA LOCAL GROCER MOONEE PONDS,89974,MOONEE PONDS,VIC ,3039,1874,IGA Local Grocer,,,,,,,,,,,,
MOONEE PONDS SUPERMARKET FWKS,3007,MOONEE PONDS,VIC ,3039,1890,Foodworks,,,,,,,,,,,,
FOODWORKS MOORABBIN,85647,MOORABBIN,VIC ,3189,1980,Foodworks,,,,,,,,,,,,
KINGSTON FOOD HANGAR FGRC,284270,MOORABBIN AIRPORT,VIC ,3194,2115,Friendly Grocer,-,,,,,,,,,,,
FOODWORKS MORDIALLOC,18493,MORDIALLOC,VIC ,3195,1958,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER + LIQ MORELAND,193275,MORELAND,VIC ,3058,1320,IGA Local Grocer,SAMI DERIAS,,,,,,,,,,,
FOODWORKS MORNINGTON,7868,MORNINGTON,VIC ,3931,1685,Foodworks,JON HEWITT,,,,,,,,,,,
IGA LOCAL GROCER BATES PLUS LIQUOR,14667,MORTLAKE,VIC ,3272,901,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER MORWELL,38824,MORWELL,VIC ,3840,1335,IGA Local Grocer,SUMEET BRAR,,,,,,,,,,,
IGA L RITCHIES MT WAVERLEY,18853,MOUNT  WAVERLEY,VIC ,3149,170,IGA Large,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER MT WAVERLEY,3565,MOUNT  WAVERLEY,VIC ,3149,1751,IGA Local Grocer,LING CHEN,,,,,,,,,,,
FWKS COUNTRY GRCRS MOUNT BEAUTY,32870,MOUNT BEAUTY,VIC ,3699,412,Foodworks,MT BEAUTY,,,,,,,,,,,
FOODWORKS MT BULLER,9664,MOUNT BULLER,VIC ,3723,1455,Foodworks,REDDROPS,,,,,,,,,,,
IGA M RYANS MT CLEAR PLUS LIQUOR,490,MOUNT CLEAR,VIC ,3350,191,IGA Medium,RYANS,,,,,,,,,,,
IGA LOCAL GROCER MT DANDENONG PLUS LIQUOR,44241,MOUNT DANDENONG,VIC ,3767,1370,IGA Local Grocer,,,,,,,,,,,,
IGA CHAMPIONS MOUNT DUNEED,295238,MOUNT DUNEED,VIC ,3216,921,IGA Large,CHAMPIONS,,,,,,,,,,,
APCO MT DUNEED VILLAGE GROCER,240101,MOUNT DUNEED,VIC ,3216,1834,Independents Other,APCO,,,,,,,,,,,
IGA L RITCHIES MT ELIZA,19294,MOUNT ELIZA,VIC ,3930,169,IGA Large,RITCHIES,,,,,,,,,,,
IGA M MT EVELYN PLUS LIQUOR,13632,MOUNT EVELYN,VIC ,3796,180,IGA Large,-,,,,,,,,,,,
HOTHAM GROCER,53161,MOUNT HOTHAM,VIC ,3741,1838,Foodworks,REDDROPS,,,,,,,,,,,
IGA M RITCHIES MT MARTHA,33156,MOUNT MARTHA,VIC ,3934,214,IGA Medium,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER MULGRAVE,12781,MULGRAVE,VIC ,3170,1992,IGA Local Grocer,,,,,,,,,,,,
VILLAGE STORE MULGRAVE,35116,MULGRAVE,VIC ,3170,2189,Friendly Grocer,,,,,,,,,,,,
MURCHISON INDEPENDENT,13110,MURCHISON,VIC ,3610,2109,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER MURRAYVILLE,22236,MURRAYVILLE,VIC ,3512,2225,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER + LIQ MURRUMBEENA,7444,MURRUMBEENA,VIC ,3163,1380,IGA Local Grocer,,,,,,,,,,,,
MURTOA SMKT (FWKS),5184,MURTOA,VIC ,3390,1513,Foodworks,,,,,,,,,,,,
FOODWORKS MYRTLEFORD,19825,MYRTLEFORD,VIC ,3736,787,Foodworks,MT BEAUTY,,,,,,,,,,,
IGA L CHAMPIONS NAGAMBIE PLUS LIQUOR,8872,NAGAMBIE,VIC ,3608,213,IGA Large,CHAMPIONS,,,,,,,,,,,
IGA M MARCOS NARRE WARREN PLUS LIQUOR,41814,NARRE WARREN,VIC ,3805,521,IGA Medium,,,,,,,,,,,,
IGA M RITCHIES NARRE WARREN,12288,NARRE WARREN,VIC ,3805,713,IGA Medium,RITCHIES,,,,,,,,,,,
IGA L RITCHIES AMBERLEY PARK SC NARRE WARREN STH,20711,NARRE WARREN SOUTH,VIC ,3805,334,IGA Large,RITCHIES,,,,,,,,,,,
CAMPUS & CO NATHALIA (FWK,247647,NATHALIA,VIC ,3638,2096,Foodworks,,,,,,,,,,,,
IGA M TJS NATHALIA PLUS LIQUOR,4643,NATHALIA,VIC ,3638,435,IGA Medium,DEALY,,,,,,,,,,,
IGA LG NEERIM SOUTH + LIQ,41792,NEERIM SOUTH,VIC ,3831,631,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS PLUS LIQUOR NEWBOROUGH,11639,NEWBOROUGH,VIC ,3825,1555,Foodworks,,,,,,,,,,,,
APCO NEWCOMBE,183774,NEWCOMB,VIC ,3219,1678,IGA Local Grocer,APCO,,,,,,,,,,,
IGA M RYANS PLEASANT PARK PLUS LIQUOR,32597,NEWINGTON,VIC ,3350,228,IGA Medium,RYANS,,,,,,,,,,,
HAPPY APPLE NEWPORT (FWKS),53325,NEWPORT,VIC ,3015,1462,Foodworks,HAPPY APPLE,,,,,,,,,,,
FRIENDLY GROCER NEWPORT,40768,NEWPORT,VIC ,3015,2091,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER NEWSTEAD,1997,NEWSTEAD,VIC ,3462,1515,IGA Local Grocer,CASSANDRA JENKINSON,,,,,,,,,,,
NEWTOWN GROCERY & LIQUOR (VIC),38927,NEWTOWN,VIC ,3220,1548,Foodworks,DAVE WILLIAMSON,,,,,,,,,,,
IGA M NHILL,6683,NHILL,VIC ,3418,262,IGA Medium,,,,,,,,,,,,
MARKET EUROPA NOBLE PARK (FOODWORKS ASSOC),2058,NOBLE PARK,VIC ,3174,1959,Foodworks,,,,,,,,,,,,
LABUAN SQUARE SUPERMARKET,43946,NORLANE,VIC ,3214,1989,Foodworks,,,,,,,,,,,,
FOODWORKS ROBIN AVE NORLANE,18312,NORLANE,VIC ,3214,1948,Foodworks,,,,,,,,,,,,
APCO NORTH GEELONG VLG GRCR,9549,NORTH GEELONG,VIC ,3215,1619,IGA Local Grocer,APCO,,,,,,,,,,,
IGA M NORTHSIDE SUPERMARKET PLUS CBN,43157,NORTH MELBOURNE,VIC ,3051,320,IGA Medium,LAE SUPERMARKET,,,,,,,,,,,
IGA M NORTH MELBOURNE,32779,NORTH MELBOURNE,VIC ,3051,632,IGA Medium,,,,,,,,,,,,
FGRC NORTH MELBOURNE,14781,NORTH MELBOURNE,VIC ,3051,2057,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER MELROSE PLUS LIQUOR NORTH MELBOURNE,5975,NORTH MELBOURNE,VIC ,3051,1653,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER NORTH MELBOURNE,53452,NORTH MELBOURNE,VIC ,3051,1211,IGA Local Grocer,HITESH,,,,,,,,,,,
IGA LOCAL GROCER ST GEORGES RD,85182,NORTHCOTE,VIC ,3070,1377,IGA Local Grocer,FOUAD,,,,,,,,,,,
FGRC NORTHCOTE,2273,NORTHCOTE,VIC ,3070,2043,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER NORTHCOTE PLUS LIQUOR,40715,NORTHCOTE,VIC ,3070,1299,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER MCDOWALL NULLAWARRE PLUS DUNCANS,8976,NULLAWARRE,VIC ,3268,1554,Friendly Grocer,,,,,,,,,,,,
FOODWORKS NUMURKAH,33234,NUMURKAH,VIC ,3636,1452,Foodworks,,,,,,,,,,,,
IGA M RITCHIES NUMURKAH PLUS LIQ,4749,NUMURKAH,VIC ,3636,93,IGA Medium,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER NYAH WEST PLUS LIQUOR,21725,NYAH WEST,VIC ,3595,1589,IGA Local Grocer,,,,,,,,,,,,
CLSD FWKS NYORA,271544,NYORA,VIC ,3987,2219,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER OAK PARK,20132,OAK PARK,VIC ,3046,2119,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER EAST OAKLEIGH,6857,OAKLEIGH EAST,VIC ,3166,1712,IGA Local Grocer,RAMI,,,,,,,,,,,
IGA LOCAL GROCER OFFICER,233938,OFFICER,VIC ,3809,1461,IGA Local Grocer,RYAN OUYANG,,,,,,,,,,,
IGA LOCAL GROCER TIMBERTOP,265894,OFFICER,VIC ,3809,1598,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS OMEO,40121,OMEO,VIC ,3898,1392,Foodworks,,,,,,,,,,,,
FOODWORKS PLUS LIQUOR ORBOST,33098,ORBOST,VIC ,3888,248,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER ORBOST,3079,ORBOST,VIC ,3888,1563,IGA Local Grocer,,,,,,,,,,,,
IGA M ORMOND PLUS LIQUOR,16039,ORMOND,VIC ,3204,919,IGA Medium,,,,,,,,,,,,
IGA M JASONS OUYEN PLUS LIQUOR,17670,OUYEN,VIC ,3490,564,IGA Medium,,,,,,,,,,,,
FOODWORKS EDENBROOK,185428,PAKENHAM,VIC ,3810,1999,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER LIBERTY PAKENHAM,244143,PAKENHAM,VIC ,3810,1810,IGA Local Grocer,-,,,,,,,,,,,
FRIENDLY GROCER PARKDALE,7761,PARKDALE,VIC ,3195,2092,Friendly Grocer,,,,,,,,,,,,
FOODWORKS PASCOE VALE,6935,PASCOE VALE,VIC ,3044,1912,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER PASCOE VALE,2158,PASCOE VALE,VIC ,3044,1475,IGA Local Grocer,-,,,,,,,,,,,
PASCOE VALE SUPERMARKET FWKS,72135,PASCOE VALE,VIC ,3044,2094,Foodworks,,,,,,,,,,,,
IGA M PIEDIMONTES PASCOE VALE,12940,PASCOE VALE,VIC ,3044,917,IGA Medium,PIEDIMONTES,,,,,,,,,,,
IGA L PAYNESVILLE (RITCHIES),53306,PAYNESVILLE,VIC ,3880,140,IGA Large,RITCHIES,,,,,,,,,,,
IGA M PEARCEDALE VILLAGE,32492,PEARCEDALE,VIC ,3912,872,IGA Medium,SAJU,,,,,,,,,,,
IGA M PLUMPTON PLUS LIQUOR,84213,PLUMPTON,VIC ,3037,1835,IGA Medium,,,,,,,,,,,,
IGA M POINT COOK PLUS LIQUOR,113204,POINT COOK,VIC ,3030,1355,IGA Medium,ZINZU,,,,,,,,,,,
IGA M SALTWATER,85199,POINT COOK,VIC ,3030,928,IGA Medium,SHGRI,,,,,,,,,,,
IGA LOCAL GROCER POINT LONSDALE PLUS LIQUOR,19993,POINT LONSDALE,VIC ,3225,776,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER POOWONG,6670,POOWONG,VIC ,3988,1759,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER PORT CAMPBELL,7102,PORT CAMPBELL,VIC ,3269,1201,Friendly Grocer,,,,,,,,,,,,
IGA M PORT FAIRY PLUS LIQUOR,9487,PORT FAIRY,VIC ,3284,237,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER PORT MELBOURNE PLUS LIQUOR,15978,PORT MELBOURNE,VIC ,3207,1051,IGA Local Grocer,ROBERT TSERIOTI,,,,,,,,,,,
IGA L DALYS PORTLAND PLUS LIQUOR,32813,PORTLAND,VIC ,3305,94,IGA Large,DALY,,,,,,,,,,,
PRAHRAN GROCER,112586,PRAHRAN,VIC ,3181,1224,Foodworks,REDDROPS,,,,,,,,,,,
IGA LOCAL GROCER PRESTON,43567,PRESTON,VIC ,3072,1375,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER + LIQ PRINCES HILL,85244,PRINCES HILL,VIC ,3054,1345,IGA Local Grocer,ELYAS,,,,,,,,,,,
FGRC PYRAMID HILL,4747,PYRAMID HILL,VIC ,3575,1615,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER QUEENSCLIFF,33125,QUEENSCLIFF,VIC ,3225,1028,IGA Local Grocer,,,,,,,,,,,,
IGA M RAINBOW,12650,RAINBOW,VIC ,3424,1172,IGA Medium,,,,,,,,,,,,
FOODWORKS RED CLIFFS,13022,RED CLIFFS,VIC ,3496,1258,Foodworks,,,,,,,,,,,,
IGA M + LIQUOR RED CLIFFS (RITCHIES),15717,RED CLIFFS,VIC ,3496,202,IGA Medium,RITCHIES,,,,,,,,,,,
RED HILL CELLAR AND PANTRY,3809,RED HILL,VIC ,3937,1949,Foodworks,,,,,,,,,,,,
FOODWORKS RESEARCH,2887,RESEARCH,VIC ,3095,1738,Foodworks,,,,,,,,,,,,
FGRC GERTZ AVE SMKT,18289,RESERVOIR,VIC ,3073,2093,Friendly Grocer,,,,,,,,,,,,
IGA M RESERVOIR,9144,RESERVOIR,VIC ,3073,744,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER RICHMOND PLUS LIQUOR,14029,RICHMOND,VIC ,3121,1644,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS RIDDELLS CREEK,7046,RIDDELLS CREEK,VIC ,3431,710,Foodworks,DAVE WILLIAMSON,,,,,,,,,,,
IGA L RITCHIES RINGWOOD EAST,16389,RINGWOOD EAST,VIC ,3135,375,IGA Large,RITCHIES,,,,,,,,,,,
IGA M RINGWOOD NTH (RITCHIES),7930,RINGWOOD NORTH,VIC ,3134,124,IGA Medium,RITCHIES,,,,,,,,,,,
RIPPONLEA VILLAGE GROCER & LIQUOR FWKS,13832,RIPPONLEA,VIC ,3185,1905,Foodworks,-,,,,,,,,,,,
IGA L R/FISHERS ROBINVALE,1636,ROBINVALE,VIC ,3549,33,IGA Large,RITCHIES,,,,,,,,,,,
IGA M MAJORS ROCHESTER,3492,ROCHESTER,VIC ,3561,349,IGA Medium,,,,,,,,,,,,
IGA M ROMSEY PLUS LIQUOR,21108,ROMSEY,VIC ,3434,464,IGA Medium,ROBERT LIE,,,,,,,,,,,
IGA LOCAL GROCER ROSANNA PLUS LIQUOR,33269,ROSANNA,VIC ,3084,1237,IGA Local Grocer,BABYLONG GROUP,,,,,,,,,,,
IGA M ROSEDALE PLUS LIQUOR,6674,ROSEDALE,VIC ,3847,1194,IGA Medium,HITESH,,,,,,,,,,,
IGA L RITCHIES ROWVILLE,6717,ROWVILLE,VIC ,3178,79,IGA Large,RITCHIES,,,,,,,,,,,
IGA M ROWVILLE LAKES PLUS LIQUOR,2591,ROWVILLE,VIC ,3178,1015,IGA Medium,-,,,,,,,,,,,
SACCAS FINE FOOD ROXBURGH FWKS,81184,ROXBURGH PARK,VIC ,3064,1683,Foodworks,SACCAS FINE FOOD,,,,,,,,,,,
FWKS ROXBURGH CENTRAL,84199,ROXBURGH PARK,VIC ,3064,1316,Foodworks,kamarelddin,,,,,,,,,,,
FOODWORKS ROXBURGH PARK PLUS LIQUOR,39499,ROXBURGH PARK,VIC ,3064,1713,Foodworks,kamarelddin,,,,,,,,,,,
IGA LOCAL GROCER RUPANYUP,7694,RUPANYUP,VIC ,3388,1649,IGA Local Grocer,-,,,,,,,,,,,
IGA M RUSHWORTH PLUS LIQUOR,5108,RUSHWORTH,VIC ,3612,985,IGA Medium,DAWEI QU,,,,,,,,,,,
IGA M RUTHERGLEN,20121,RUTHERGLEN,VIC ,3685,502,IGA Medium,MICK DARE,,,,,,,,,,,
CAMPUS & CO. SALE,288017,SALE,VIC ,3850,2199,Foodworks,-,,,,,,,,,,,
FOODWORKS SALE,33353,SALE,VIC ,3850,1125,Foodworks,,,,,,,,,,,,
IGA L RITCHIES SALE,4848,SALE,VIC ,3850,138,IGA Large,RITCHIES,,,,,,,,,,,
IGA M SAN REMO,2938,SAN REMO,VIC ,3925,257,IGA Medium,GBD,,,,,,,,,,,
IGA LOCAL GROCER SANDY HILL,126618,SANDRINGHAM,VIC ,3191,1906,IGA Local Grocer,JIAWEI YE,,,,,,,,,,,
FOODWORKS SEALAKE,17708,SEA LAKE,VIC ,3533,1255,Foodworks,,,,,,,,,,,,
IGA M RITCHIES SEAFORD,20817,SEAFORD,VIC ,3198,413,IGA Medium,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER SEAFORD NORTH PLUS LIQUOR,53231,SEAFORD,VIC ,3198,1396,IGA Local Grocer,,,,,,,,,,,,
HAPPY APPLE SEDDON,213177,SEDDON,VIC ,3011,1422,Foodworks,HAPPY APPLE,,,,,,,,,,,
FOODWORKS WESTERN SEDDON,16810,SEDDON,VIC ,3011,1305,Foodworks,,,,,,,,,,,,
IGA M SEYMOUR PLUS LIQUOR,20945,SEYMOUR,VIC ,3660,990,IGA Medium,REDDROPS,,,,,,,,,,,
IGA L FAIRLEYS SHEPPARTON,21824,SHEPPARTON,VIC ,3630,24,IGA Large,MICHAELS,,,,,,,,,,,
IGA LOCAL GROCER POPLAR AVENUE SHEPPARTON PLUS LIQUOR,36388,SHEPPARTON,VIC ,3630,1637,IGA Local Grocer,-,,,,,,,,,,,
FGRC APCO SHEPPARTON,120469,SHEPPARTON,VIC ,3630,1957,Friendly Grocer,APCO,,,,,,,,,,,
FOODWORKS SHEPPARTON COLLIVER RD,7873,SHEPPARTON,VIC ,3630,1645,Foodworks,,,,,,,,,,,,
SKIPTON COUNTRY GROCERS (FWKS),8216,SKIPTON,VIC ,3361,1424,Foodworks,WAYNE HALL,,,,,,,,,,,
SMYTHESDALE COUNTRY GRC (FWKS),12439,SMYTHESDALE,VIC ,3351,940,Foodworks,WAYNE HALL,,,,,,,,,,,
FLOWER OF SORRENTO GROCER,15651,SORRENTO,VIC ,3943,2089,Friendly Grocer,,,,,,,,,,,,
IGA M RITCHIES SORRENTO,84299,SORRENTO,VIC ,3943,240,IGA Medium,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER ON PARK ST,40717,SOUTH MELBOURNE,VIC ,3205,2033,IGA Local Grocer,JASVIR SINGH,,,,,,,,,,,
FGRC SOUTH MELBOURNE,52881,SOUTH MELBOURNE,VIC ,3205,1371,Friendly Grocer,,,,,,,,,,,,
FWKS SOUTH WHARF,122259,SOUTH WHARF,VIC ,3006,1487,Foodworks,CON KIOURTSIDIS,,,,,,,,,,,
IGA LOCAL GROCER SOUTH YARRA,2464,SOUTH YARRA,VIC ,3141,1197,IGA Local Grocer,SHAMSUL ISLAM,,,,,,,,,,,
IGA LOCAL GROCER FRESHWATER,16123,SOUTHBANK,VIC ,3006,1188,IGA Local Grocer,,,,,,,,,,,,
FOODWORKS SOUTHBANK (VIC),52610,SOUTHBANK,VIC ,3006,1301,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER SOUTHBANK,19279,SOUTHBANK,VIC ,3006,1137,IGA Local Grocer,JEFF HARPER,,,,,,,,,,,
IGA LOCAL GROCER STURT ST PLUS LIQUOR,2632,SOUTHBANK,VIC ,3006,1124,IGA Local Grocer,ROBERT TSERIOTI,,,,,,,,,,,
IGA LOCAL GROCER SPOTSWOOD,17062,SPOTSWOOD,VIC ,3015,1879,IGA Local Grocer,,,,,,,,,,,,
FGRC SPRINGVALE,91137,SPRINGVALE,VIC ,3171,2110,Friendly Grocer,-,,,,,,,,,,,
